,title,intro
0,{{= title}},2015-11-19(韩国) / 2015-12-31(导演剪辑版) / 李秉宪 / 曹承佑 / 白润植 / 李璟荣 / 金弘波 / 裴晟祐 / 赵在允 / 金大明 / 赵宇镇 / 李艾 / 郑满植 / 金秉玉 / 金义城 / 朴镇宇 / 南一祐 / 李文石 / 朴振英 / 李时宪 / 金正洙 / 柳泰浩 / 李东镇 / 孙钟学 / 金相日 / 朴成根 / 朴相赫 / 韩国 / 禹民镐 / 130分钟 / 181分钟(导演剪辑版) / 局内人 / 剧情 / 动作 / 犯罪 / 惊悚 / 禹民镐 Min-ho Woo / 尹太浩 Tae-Ho Yoon / 韩语
1,金福南杀人事件始末 / 김복남 살인사건의 전말,2010-09-02(韩国) / 徐英姬 / 池成媛 / 朴政学 / 白秀莲 / 黄民浩 / 제민 / 李芝恩 / 蔡诗贤 / 裴晟祐 / 柳淳哲 / 郑基燮 /  洪承鎮 / 吴龙 / 赵德济 / 朴正顺 / Seong-woo Bae / 卓成恩 / 安秀浩 / 韩国 / 张哲洙 / 116分钟 / 金福南杀人事件始末 / 剧情 / 犯罪 / 惊悚 / 张哲洙 Cheol-soo Jang / 韩语
2,走到尽头 / 끝까지 간다,2014-05-18(戛纳电影节) / 2014-05-29(韩国) / 李善均 / 赵震雄 / 申正根 / 郑满植 / 申东美 / 金东英 / 周锡泰 / 许廷恩 / 朴宝剑 / 李才元 / 奇周峯 / 南庆邑 / 金海坤 / 宋英奎 / 李知勋 / 李时宪 / 张宥 / 徐贤宇 / 张仁燮 / Jea-woo Lee / 李胜浚 / 白钟焕 / 韩国 / 金成勋 / 111分钟 / 走到尽头 / 动作 / 犯罪 / 惊悚 / 金成勋 Seong-hun Kim / 张恒准 Hang-jun Zhang / 李海准 Hae-jun Lee / 韩语
3,黄海 / 황해,2010-12-22(韩国) / 河正宇 / 金允石 / 郑满植 / 李哲民  / 李艾 / 刘河福 / 赵河硕 / 全仁杰 / 姜贤重  / 白贤宇 / 徐东锡 / 金东贤 / 杨基元 / 尹炳熙 / 廉东铉 / 千明宰 / 孙康国 / 廉东宪 / 赵成夏 / 方惠英 / 郭度沅 / 李熙俊 / 林艺媛 / 卓成恩 / 赵在允 / 朴秉恩 / 李由美 / 崔旭 / 韩国 / 美国 / 中国香港 / 罗泓轸 / 157分钟(韩国) / 141分钟(导演剪辑版) / 黄海 / 剧情 / 动作 / 犯罪 / 罗泓轸 Hong-jin Na / 韩语 / 汉语普通话
4,蒙太奇 / 몽타주,2013-05-16(韩国) / 金相庆 / 严正化 / 宋永彰 / 曹熙奉 / 刘承睦 / 李俊赫 / 朴哲民 / 郑海钧 / 金圣镜 / 郭真 / 白智媛 / 郑熙泰 / 奇周峯 / 吴代焕 / 韩国 / www.montage2013.kr / 郑根燮 / 120分钟 / 蒙太奇 / 剧情 / 犯罪 / 惊悚 / 郑根燮 Jeong Geun-Seop / 韩语
5,追击者 / 추격자,2008-02-14(韩国) / 河正宇 / 金允石 / 徐英姬 / 金裕贞 / 郑仁基 / 朴孝朱 / 李相熹 / 吕茂英  / 夏成光 / 郑西仁 / 朴镇宇 / 俞智妍 / 具本雄 / 李钟求 / 李仁喆 / 郑基燮 / 闵庆珍 / 宋永世 / 赵德济 / 张宥 / 韩国 / 罗泓轸 / 125分钟 / 追击者 / 犯罪 / 剧情 / 惊悚 / 罗泓轸 Hong-jin Na / 韩语
6,杀人回忆 / 살인의 추억,2003-05-02(韩国) / 宋康昊 / 金相庆 / 金雷夏 / 宋在浩 / 边希峰 / 高瑞熙 / 柳泰浩 / 朴努植 / 朴海日 / 全美善 / 徐永嬅 / 崔钟律 / 刘承睦 / 申贤宗 / 李在应 / 郑仁仙 / 吴龙 / 朴真宇 / 朴泰京 / 沈成宝 / 朴镇宇 / 廉惠兰 / Joo-ryeong Kim / 李东勇 / 赵德济 / 申文成 / 孙康国 / 李大贤 / 李玉珠 / 刘仁秀 / 千明宰 / 郭秀贞 / 曹文义 / 朴贤英 / 申贤胜 / 權炳吉 / 金熙珍 / 崔铉基 / 金荷景 / 金景来 / 金景来 / 白奉基 / 孙镇浩 / 金周灵 / 刘琴 / 禹高娜 / 李勋京 / 申云燮 / 李江山 / 韩国 / 奉俊昊 / 132分钟 / 杀人回忆 / 剧情 / 动作 / 犯罪 / 悬疑 / 惊悚 / 奉俊昊 Joon-ho Bong / 金光林 Kwang-rim Kim / 沈成宝 Sung Bo Shim / 韩语 / 英语
7,夺命金 / 奪命金,2011-09-09(威尼斯电影节) / 2011-10-20(中国香港) / 2012-02-03(中国大陆) / 刘青云 / 任贤齐 / 胡杏儿 / 卢海鹏 / 苏杏璇 / 钟舒漫 / 谭炳文 / 黄日华 / 车婉婉 / 陈自瑶 / 梁俊一 / 黄智贤 / 尹子维 / 贾晓晨 / 姜皓文 / 李国麟 / 张荣祥 / 蔡子健 / 李兆基 / 徐忠信 / 刘芊蒂 / 张满源 / 罗强 / 袁绮雯 / 禢志杰 / 黄莹 / 郭锋 / 吴志雄 / 鲁芬 / 张兆辉 / 中国香港 / mediaasia.com/lifewithoutprinciple/ / 杜琪峰 / 张家杰 / 106分钟 / 夺命金 / 剧情 / 犯罪 / 银河创作组 / 欧健儿 Kin-Yee Au / 黄劲辉 / 粤语 / 汉语普通话
8,小丑 / Joker,2019-08-31(威尼斯电影节) / 2019-10-04(美国) / 华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙 / 莎姬·贝兹 / 谢伊·惠格姆 / 弗兰西丝·康罗伊 / 布莱恩·考伦 / 布莱恩·泰里·亨利 / 布莱特·卡伦 / 道格拉斯·霍奇斯 / 格伦·弗莱施勒 / 比尔·坎普 / 乔什·帕斯 / 但丁·佩雷拉-奥尔森 / 玛丽·凯特·马拉特 / 迈克尔·本茨 / 莎珑·华盛顿 / 桑德拉·詹姆斯 / 托尼·赫德 / 曼德拉·贝拉米 / 乔·奥克曼 / 卡尔·伦德施泰特 / 米克·奥罗克 / 大卫·吉布森 / 伊万·罗萨多 / 安妮·比萨比亚 / 布莱斯·科里根 / 乔恩·道格拉斯·雷尼 / 艾恩斯利·丹恩 / 杰森·约翰·奇卡莱塞 / 加里·古尔曼 / 贾斯汀·塞洛克斯 / 大卫·伊亚科诺 / 本·沃黑特 / 美国 / 加拿大 / www.jokermovie.net / 托德·菲利普斯 / 122分钟 / 118分钟(威尼斯电影节) / 小丑 / 剧情 / 犯罪 / 惊悚 / 托德·菲利普斯 Todd Phillips / 斯科特·西尔弗 Scott Silver / 鲍勃·凯恩 Bob Kane / 比尔·芬格 Bill Finger / 杰瑞·罗宾逊 Jerry Robinson / 英语
9,我脑中的橡皮擦 / 내 머리 속의 지우개,2004-11-05(韩国) / 郑雨盛 / 孙艺珍 / 白钟学 / 金富善 / 金重基 / 善智贤 / 玄英 / 大卫·麦金尼斯 / 吴光禄 / 郑敏圣 / 李善珍 / 陈庸旭 / 朴美淑 / 徐进元  / 朴相奎 / 朴永希 / 韩国 / 李宰汉 / 117分钟 / 144分钟(导演剪辑版) / 我脑中的橡皮擦 / 爱情 / 剧情 / 李宰汉 John H. Lee / 金英夏 Yeong-ha Kim / 韩语
